Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Ob Sie es glauben oder nicht: Es ist nicht nur möglich, mehr zu erreichen, (by doing less){{c1::indem man weniger tut}}. Weniger zu tun ist auch die unabdingbare Voraussetzung dafür, mehr zu erreichen.		
Ob Sie es glauben oder nicht: Es ist nicht nur möglich, mehr zu erreichen, indem man weniger tut. Weniger zu tun ist auch die (indispensable){{c1::unabdingbare}} Voraussetzung dafür, mehr zu erreichen.		
(the trick is of course){{c1::Der Trick besteht natürlich darin}}, das ohne Einkommenseinbußen oder sogar mit einer Einkommensverbesserung zu bewerkstelligen.		
Der Trick besteht natürlich darin, das ohne Einkommenseinbußen oder sogar mit einer Einkommensverbesserung zu (manage){{c1::bewerkstelligen.}}		
Mit diesem Kapitel möchte ich Sie dabei unterstützen, Ihre persönliche Produktivität {{c1::um}} 100 bis 500 Prozent zu steigern.		
Mit diesem Kapitel möchte ich Sie dabei unterstützen, Ihre persönliche Produktivität um 100 bis 500 Prozent zu (increase){{c1::steigern}}.		
Die Prinzipien sind dabei für Angestellte und Unternehmer (the same){{c1::die gleichen}}, doch der Zweck ihrer gesteigerten Produktivität ist jeweils ein völlig anderer.		
Die Prinzipien sind dabei für Angestellte und Unternehmer die gleichen, doch der Zweck ihrer gesteigerten Produktivität ist (completely different in each case){{c1::jeweils ein völlig anderer}}.		
Effektivität bedeutet, die Dinge zu tun, (which bring us nearer to our goals){{c1::die uns näher an unsere Ziele heranbringen}}.		
Effizient zu sein, bedeutet hingegen, eine (given){{c1::gegebene}} Aufgabe (ob sie nun wichtig ist oder nicht) so ökonomisch wie möglich zu bewältigen.		
Effizient zu sein, bedeutet hingegen, eine gegebene Aufgabe (ob sie nun wichtig ist oder nicht) so ökonomisch wie möglich zu (deal with){{c1::bewältigen}}.		
Ich war früher selbst Spezialist für (this kind of professional thumb twiddling){{c1::derart professionelles Däumchendrehen}}.		
Behalten Sie also bitte diese zwei (truisms){{c1::Binsenweisheiten}} im Kopf:		
Die Tatsache, (that a task takes up a lot of time){{c1::dass eine Aufgabe viel Zeit in Anspruch nimmt}}, macht sie nicht wichtig.		
Effizienz ist natürlich wichtig, aber sie ist wertlos, (if you don't use it for the right things){{c1::wenn man sie nicht auf die richtigen Dinge anwendet}}. Und um die richtigen Dinge zu finden, müssen wir zuerst einmal in den Garten gehen.		
Effizienz ist natürlich wichtig, aber sie ist wertlos, wenn man sie nicht auf die richtigen Dinge anwendet. Und um die richtigen Dinge zu finden, müssen wir (first of all){{c1::zuerst einmal}} in den Garten gehen.		 
80 Prozent des Reichtums und des Einkommens sind (in possesion of){{c1::im Besitz von}} 20 Prozent der Bevölkerung.		
Die gleiche mathematische Formel lässt sich auch (outwith){{c1::außerhalb}} der Ökonomie anwenden.		
Die gleiche mathematische Formel (can also be used outwith economics){{c1::lässt sich auch außerhalb der Ökonomie anwenden}}.		
Paretos Gesetz (can be summarised as follows){{c1::lässt sich folgendermaßen zusammenfassen}}: 20 Prozent des Inputs sorgen für 80 Prozent des gesamten Outputs. Das lässt sich, je nach Kontext, auch anders ausdrücken:		
Paretos Gesetz lässt sich folgendermaßen zusammenfassen: 20 Prozent des Inputs sorgen für 80 Prozent des gesamten Outputs. Das lässt sich, (depending on the context){{c1::je nach Kontext}}, auch anders ausdrücken:		
Diese Liste kann unendlich (continued){{c1::fortgesetzt}} werden.		
Dabei ist das (imbalance){{c1::Ungleichgewicht}} oft sogar noch stärker ausgeprägt: 90/10, 95/5 oder 99/1 sind nicht ungewöhnlich - mindestens handelt es sich aber um ein Verhältnis 80/20.		
Dabei ist das Ungleichgewicht oft sogar noch stärker (pronounced){{c1::ausgeprägt}}: 90/10, 95/5 oder 99/1 sind nicht ungewöhnlich - mindestens handelt es sich aber um ein Verhältnis 80/20.		
Dabei ist das Ungleichgewicht oft sogar noch stärker ausgeprägt: 90/10, 95/5 oder 99/1 sind nicht ungewöhnlich - mindestens {{c1::handelt}} es sich aber um ein Verhältnis 80/20.		
Als ich (one late evening){{c1::eines späten Abends}} über Paretos Arbeit stolperte, schuftete ich sieben Tage in der Woche 15 Stunden lang und fühlte mich total überfordert und hilflos.		
Als ich eines späten Abends über Paretos Arbeit (stumbled){{c1::stolperte}}, schuftete ich sieben Tage in der Woche 15 Stunden lang und fühlte mich total überfordert und hilflos.		
Als ich eines späten Abends über Paretos Arbeit stolperte, schuftete ich sieben Tage in der Woche 15 Stunden lang und fühlte mich total (overworked){{c1::überfordert}} und hilflos.		
Welche 20 Prozent aller Maßnahmen {{c1::sorgen}} für 80 Prozent der erwünschten Ergebnisse und somit dafür, dass ich glücklich bin?		
Das Ziel einer solchen Analyse ist, zu erkennen, welche Dinge in Ihrem Leben nur wenig dazu (contribute){{c1::beitragen}}, dass Sie Ihre Ziele erreichen.		
In den (following){{c1::folgenden}} 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute pflege.		
In (the){{c1::den}} folgenden 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute pflege.		
In den folgenden 24 Stunden traf ich eine (series){{c1::Reihe}} von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute pflege.		
In den folgenden 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben (literally){{c1::buchstäblich}} für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute pflege.		
In den folgenden 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und (put me in the position){{c1::mich in die Lage versetzten}}, den Lebensstil zu genießen, den ich heute pflege.		
In den folgenden 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute {{c1::pflege}}.		
Von meinen mehr als 120 (wholesaler customers){{c1::Großhandelskunden}} sorgten gerade mal fünf für 95 Prozent des Umsatzes.		
Von meinen mehr als 120 Großhandelskunden (ensured){{c1::sorgten}} gerade mal fünf für 95 Prozent des Umsatzes.		
Von meinen mehr als 120 Großhandelskunden sorgten gerade mal fünf {{c1::für}} 95 Prozent des Umsatzes.		
Von meinen mehr als 120 Großhandelskunden sorgten gerade mal fünf für 95 Prozent des (turnover){{c1::Umsatzes}}.		
Da die erwähnten fünf regelmäßig bestellten, ohne dass ich ihnen nachtelefonieren, sie überzeugen oder (coax){{c1::beschwatzen}} musste, brachte ich 98 Prozent meiner Zeit damit zu, den restlichen Kunden hinterherzujagen.<br />		
Da die erwähnten fünf regelmäßig bestellten, ohne dass ich ihnen nachtelefonieren, sie überzeugen oder beschwatzen musste, brachte ich 98 Prozent meiner Zeit damit {{c1::zu}}, den restlichen Kunden hinterherzujagen.		
Da die erwähnten fünf regelmäßig bestellten, ohne dass ich ihnen nachtelefonieren, sie überzeugen oder beschwatzen musste, brachte ich 98 Prozent meiner Zeit damit zu, den restlichen Kunden (chasing after){{c1::hinterherzujagen}}.		
(In other words){{c1::Mit anderen Worten}}: Ich arbeitete, weil ich das Gefühl hatte, den ganzen Tag arbeiten zu müssen.		
Ich hatte nicht begriffen, dass es nicht das Ziel war, von neun bis fünf Uhr zu (slog away){{c1::ackern}}.		
(most people){{c1::Die meisten Menschen}} tun das, einfach weil es ihrer Gewohnheit entspricht - ob es nun nötig ist oder nicht.		
Die meisten Menschen tun das, einfach weil es {{c1::ihrer}} Gewohnheit entspricht - ob es nun nötig ist oder nicht.		
Die meisten Menschen tun das, einfach weil (it's their habit){{c1::es ihrer Gewohnheit entspricht}} - ob es nun nötig ist oder nicht.		
(I looked at the problems){{c1::Ich schaute mir die Probleme an}}, mit denen ich zu kämpfen hatte.		
Hier ist der (mess){{c1::Schlamassel}}, den ich angerichtet habe, sehen Sie zu, wie Sie damit klarkommen.		
"Hier ist {{c1::der}} Schlamassel, den ich angerichtet habe, sehen Sie zu, wie Sie damit klarkommen.		
Um die (unprofitable){{c1::unprofitablen}} Kunden kümmerte ich mich nicht weiter.		
Um die unprofitablen Kunden (I didn't bother with anymore){{c1::kümmerte ich mich nicht weiter}}.		
Damit blieben mir noch die beiden erwähnten Großkunden, (who were professional pains in the neck){{c1::die professionelle Nervensägen waren}}, aber zu der Zeit etwa zehn Prozent zu meinem Gesamtgewinn beitrugen.		
Damit blieben mir noch die beiden erwähnten Großkunden, die professionelle Nervensägen waren, aber (at that time){{c1::zu der Zeit}} etwa zehn Prozent zu meinem Gesamtgewinn beitrugen.		
Damit blieben mir noch die beiden erwähnten Großkunden, die professionelle Nervensägen waren, aber zu der Zeit etwa zehn Prozent zu meinem Gesamtgewinn (contributed){{c1::beitrugen}}.		
(until that point){{c1::Bis zu diesem Zeitpunkt}} hatte ich ihre Drohungen und Beleidigungen, die zeitraubenden Streitereien und die Schimpftiraden gewissermaßen als Teil der Betriebskosten verbucht.		
Bis zu diesem Zeitpunkt hatte ich ihre Drohungen und Beleidigungen, die zeitraubenden Streitereien und die Schimpftiraden (to an extent){{c1::gewissermaßen}} als Teil der Betriebskosten verbucht.		
Durch meine 80/20-Analyse wurde mir klar, dass diese zwei Kunden für einen großen Teil (of my professional aggrevation){{c1::meines beruflichen Ärgers}} verantwortlich waren.		
Mein Ärger erstreckte sich bis in meine Freizeit hinein, und ich führte nächtliche Selbstgespräche nach dem {{c1::Muster}}: "Ich hätte diesem Drecksack X, Y und auch noch Z sagen sollen."		
Schließlich wurde mir das Offensichtliche klar: {{c1::Der}} Schaden, den mein Selbstwertgefühl und mein Seelenfrieden nahmen, war den finanziellen Gewinn schlicht und einfach nicht wert.		
Schließlich wurde mir das Offensichtliche klar: Der Schaden, den mein Selbstwertgefühl und mein Seelenfrieden nahmen, war {{c1::den}} finanziellen Gewinn schlicht und einfach nicht wert.		
(Any random){{c1::Ein beliebiger}} NR - in diesem Fall ich: Ich werde Sie umbringen. Sie werden mir nicht entkommen.		
Schön wär's. (I ran this conversation through my head roughly a million times){{c1::Ich spielte dieses Gespräch etwa eine Million Mal in meinem Kopf durch}}, aber in Wirklichkeit lief es eher so ab:		
Schön wär's. Ich spielte dieses Gespräch etwa eine Million Mal in meinem Kopf durch, (but in reality it happened more like this){{c1::aber in Wirklichkeit lief es eher so ab}}:		
Wissen Sie, ich höre {{c1::mir}} Ihre Beleidigungen jetzt schon eine Zeit lang an und ich glaube, dass wir leider in Zukunft keine Geschäfte mehr miteinander machen können.		
Wissen Sie, ich höre mir Ihre Beleidigungen (for a while now){{c1:: jetzt schon eine Zeit lang}} an und ich glaube, dass wir leider in Zukunft keine Geschäfte mehr miteinander machen können.		
Wissen Sie, ich höre mir Ihre Beleidigungen jetzt schon eine Zeit lang an und ich glaube, dass wir leider (in future){{c1::in Zukunft}} keine Geschäfte mehr miteinander machen können.		
Ich würde Ihnen empfehlen, einmal ernsthaft darüber nachzudenken, wo Ihre ganze schlechte Laune und Aggressivität eigentlich (come from){{c1::herkommen}}.		
Ich wünsche Ihnen (anyway){{c1::jedenfalls}} alles Gute für die Zukunft.		
Wenn Sie etwas bestellen wollen, werden wir das gerne liefern, (however only){{c1::allerdings nur}}, wenn Sie es schaffen, sich einigermaßen zivilisiert und ohne Beleidigungen auszudrücken.		
Wenn Sie etwas bestellen wollen, werden wir das gerne liefern, allerdings nur, wenn Sie es schaffen, sich (reasonably){{c1::einigermaßen}} zivilisiert und ohne Beleidigungen auszudrücken.		
Wenn Sie etwas bestellen wollen, werden wir das gerne liefern, allerdings nur, (if you manage){{c1::wenn Sie es schaffen}}, sich einigermaßen zivilisiert und ohne Beleidigungen auszudrücken.		
Und ich war (with immediate effect){{c1::mit sofortiger Wirkung}} zehnmal glücklicher.		
Dann analysierte ich, was meine fünf größten Kunden für Gemeinsamkeiten hatten, und suchte mir (in the following week){{c1::in der folgenden Woche}} etwa drei Käufer mit einem ähnlichen Profil.		
(Don't forget){{c1::Denken Sie daran}}: Das wichtigste Ziel heißt, maximales Einkommen durch geringstmöglichen Einsatz (und das bedeutet auch eine minimale Anzahl von Kunden).		
Denken Sie daran: Das wichtigste Ziel (is){{c1::heißt}}, maximales Einkommen durch geringstmöglichen Einsatz (und das bedeutet auch eine minimale Anzahl von Kunden).		
Denken Sie daran: Das wichtigste Ziel heißt, maximales Einkommen durch (lowerst possible){{c1::geringstmöglichen}} Einsatz (und das bedeutet auch eine minimale Anzahl von Kunden).		
Denken Sie daran: Das wichtigste Ziel heißt, maximales Einkommen durch geringstmöglichen Einsatz (und das bedeutet auch eine minimale (number){{c1::Anzahl}} von Kunden).		
Das Ergebnis? Ich versuchte nicht mehr, 120 Kunden zu (ensnare){{c1::umgarnen}}, stattdessen bekam ich von acht Kunden große Bestellungen, und zwar ohne jegliche Telefonbetteleien oder E-Mail-Predigten.		
Das Ergebnis? Ich versuchte nicht mehr, 120 Kunden zu umgarnen, stattdessen bekam ich von acht Kunden große Bestellungen, und zwar ohne (any){{c1::jegliche}} Telefonbetteleien oder E-Mail-Predigten.		
Mein monatliches Einkommen stieg (within){{c1::innerhalb von}} vier Wochen von 30000 auf 60000 Dollar, und meine wöchentliche Arbeitszeit fiel mit einem Schlag von über 80 auf ungefähr 15 Stunden.		
Mein monatliches Einkommen stieg innerhalb von vier Wochen von 30000 (to){{c1::auf}} 60000 Dollar, und meine wöchentliche Arbeitszeit fiel mit einem Schlag von über 80 auf ungefähr 15 Stunden.		
Mein monatliches Einkommen stieg innerhalb von vier Wochen von 30000 auf 60000 Dollar, und meine wöchentliche Arbeitszeit fiel mit einem Schlag von über 80 (to){{c1::auf}} ungefähr 15 Stunden.		
Mein monatliches Einkommen stieg innerhalb von vier Wochen von 30000 auf 60000 Dollar, und meine wöchentliche Arbeitszeit fiel (in a oner){{c1::mit einem Schlag}} von über 80 auf ungefähr 15 Stunden.		
Und das Wichtigste: (For the first time){{c1::Zum ersten Mal}} seit zwei Jahren fühlte ich mich wohl, war optimistisch und befreit.		
Und das Wichtigste: Zum ersten Mal seit zwei Jahren fühlte ich mich wohl, war optimistisch und (liberated){{c1::befreit}}.		
(I reseached){{c1::Ich forschte nach}}, welche Werbemaßnahmen 80 Prozent oder mehr aller Bestellungen generierten, bestimmte die Gemeinsamkeiten zwischen ihnen, verstärkte diese und ließ den ganzen Rest bleiben.		
Ich forschte nach, welche Werbemaßnahmen 80 Prozent oder mehr aller Bestellungen generierten, bestimmte die Gemeinsamkeiten zwischen ihnen, verstärkte diese und ließ (the rest){{c1::den ganzen Rest}} bleiben.		
Mein Managementaufwand sank von fünf bis zehn Stunden in der Woche (to){{c1::auf}} eine Stunde pro Monat.		
(Busyness){{c1::Geschäftigkeit}} ist eine Form von Faulheit - Faulheit des Denkens und wahlloses Handeln.		
(Drowing in work){{c1::In Arbeit zu ertrinken}} ist ebenso unproduktiv wie gar nichts zu tun - und es ist weitaus unangenehmer.		
In Arbeit zu ertrinken ist (just as){{c1::ebenso}} unproduktiv wie gar nichts zu tun - und es ist weitaus unangenehmer.		
Sie werden eine Menge ausprobieren müssen, um herauszufinden, was die größten Auswirkungen hat, bevor Sie in einem neuen Umfeld (sei es in einem neuen Job oder in einem unternehmerischen Projekt) (seperate the wheat from the chaff){{c1::die Spreu vom Weizen trennen}} und Aufgaben abschaffen können.		
Werfen Sie alles {{c1::an}} die Wand und schauen Sie, was kleben bleibt.		
Werfen Sie alles an {{c1::die}} Wand und schauen Sie, was kleben bleibt.		
Werfen Sie alles an die Wand und (see){{c1::schauen Sie}}, was kleben bleibt.		
Werfen Sie alles an die Wand und schauen Sie, (what sticks){{c1::was kleben bleibt}}.		
(It's just all to easy){{c1::Es ist nur allzu leicht}}, sich in endlosen Details zu verzetteln.		
Es ist nur allzu leicht, (to get lost in endless details){{c1::sich in endlosen Details zu verzetteln}}.		
(Don't let yourself be hurried){{c1::Lassen Sie sich nicht hetzen}} und denken Sie daran, dass Mangel an Zeit eigentlich ein Mangel an Prioritäten ist.		
Lassen Sie sich nicht hetzen und (don't forget that lack of time, is actually a lack of priorities){{c1::denken Sie daran, dass Mangel an Zeit eigentlich ein Mangel an Prioritäten ist}}.		
(Take the time to breathe){{c1::Nehmen Sie sich die Zeit, einmal durchzuatmen}} und den Überblick zu gewinnen.		
Wenn Sie Angestellter sind, dann ist es (to a certain degree){{c1::bis zu einem gewissen Grad}} nicht Ihr Fehler, wenn Sie Ihre Zeit mit Unsinn vertun.		
Wenn Sie Angestellter sind, dann ist es bis zu einem gewissen Grad nicht Ihr Fehler, wenn Sie Ihre Zeit mit Unsinn (waste){{c1::vertun}}.		
Oft gibt es keinen (incentive){{c1::Anreiz}}, die Zeit sinnvoll zu nutzen, wenn man nicht gerade auf Provisionsbasis bezahlt wird.		
Oft gibt es keinen Anreiz, (to make use of the time sensibly){{c1::die Zeit sinnvoll zu nutzen}}, wenn man nicht gerade auf Provisionsbasis bezahlt wird.		
Oft gibt es keinen Anreiz, die Zeit sinnvoll zu nutzen, wenn man nicht gerade auf Provisionsbasis (paid){{c1::bezahlt}} wird.		
Da Sie während (this time of wage slavery){{c1::dieser Zeit der Lohnsklaverei}} im Büro eingesperrt sind, sind Sie gezwungen, Aktivitäten zu erfinden, die diese Zeit ausfüllen.		
Da Sie während dieser Zeit der Lohnsklaverei im Büro eingesperrt sind, sind Sie gezwungen, Aktivitäten zu erfinden, die diese Zeit (fill){{c1::ausfüllen}}.		
Zeit wird verschwendet, (because so much of it is available){{c1::weil so viel davon verfügbar ist}}.		
Aber jetzt, da Sie das neue Ziel (in Sight){{c1::vor Augen}} haben, Ihrem Arbeitgeber eine Telearbeitsvereinbarung abzutrotzen, anstatt nur auf die nächste Gehaltsüberweisung zu warten, müssen wir uns daran machen, den Status quo in Frage zu stellen und effektiv zu werden.		
Aber jetzt, da Sie das neue Ziel vor Augen haben, Ihrem Arbeitgeber eine Telearbeitsvereinbarung abzutrotzen, anstatt nur auf die nächste (pay check){{c1::Gehaltsüberweisung}} zu warten, müssen wir uns daran machen, den Status quo in Frage zu stellen und effektiv zu werden.		
Aber jetzt, da Sie das neue Ziel vor Augen haben, Ihrem Arbeitgeber eine Telearbeitsvereinbarung abzutrotzen, anstatt nur auf die nächste Gehaltsüberweisung zu warten, müssen wir uns daran machen, den Status quo (to question){{c1::in Frage zu stellen}} und effektiv zu werden.		
Aber jetzt, da Sie das neue Ziel vor Augen haben, Ihrem Arbeitgeber eine Telearbeitsvereinbarung abzutrotzen, anstatt nur auf die nächste Gehaltsüberweisung zu warten, (we have to start){{c1::müssen wir uns daran machen}}, den Status quo in Frage zu stellen und effektiv zu werden.		
Unternehmer (are very wasteful with time){{c1::gehen sehr verschwenderisch mit Zeit um}}, weil sie es nicht anders gewohnt sind und weil sie sich daran orientieren, wie alle anderen sich verhalten.		
Unternehmer gehen sehr verschwenderisch mit Zeit um, (because they're not used to anything else){{c1::weil sie es nicht anders gewohnt sind}} und weil sie sich daran orientieren, wie alle anderen sich verhalten.		
Es ist nichts weiter als eine (arbitrary statement){{c1::willkürliche Festlegung}}.		
Sie brauchen nicht acht Stunden pro Tag, um ein echter Millionär zu werden - und (certainly not){{c1::schon gar nicht}}, um genug Geld zu verdienen, damit Sie wie einer leben können.		
Sie brauchen nicht acht Stunden pro Tag, um ein echter Millionär zu werden - und schon gar nicht, um genug Geld zu verdienen, damit Sie wie (one){{c1::einer}} leben können.		
Lassen Sie uns (first of all){{c1::zunächst einmal}} über ein paar Dinge nachdenken, bei denen wir uns wahrscheinlich schnell einig sind.		
Wenn ein plötzlicher Notfall (occurs){{c1::auftritt}} und wir das Büro in zwei Stunden verlassen müssen, aber gleichzeitig einen wichtigen Abgabetermin haben, dann schaffen wir es wunderbarerweise, die Aufgabe in zwei Stunden fertigzustellen.		
Wenn ein plötzlicher Notfall auftritt und wir das Büro in zwei Stunden verlassen müssen, aber gleichzeitig einen wichtigen (deadline){{c1::Abgabetermin}} haben, dann schaffen wir es wunderbarerweise, die Aufgabe in zwei Stunden fertigzustellen.		
Wenn ein plötzlicher Notfall auftritt und wir das Büro in zwei Stunden verlassen müssen, aber gleichzeitig einen wichtigen Abgabetermin haben, dann schaffen wir es (miraculously){{c1::wunderbarerweise}}, die Aufgabe in zwei Stunden fertigzustellen.		
Wenn ein plötzlicher Notfall auftritt und wir das Büro in zwei Stunden verlassen müssen, aber gleichzeitig einen wichtigen Abgabetermin haben, dann schaffen wir es wunderbarerweise, die Aufgabe in zwei Stunden (to complete){{c1::fertigzustellen}}.		
Die Abschlussarbeit, die nicht weniger als 25 Prozent der Semesternote ausmachte, war in 24 Stunden (due){{c1::fällig}}.		
Die Abschlussarbeit, die nicht weniger als 25 Prozent der Semesternote (made up){{c1::ausmachte}}, war in 24 Stunden fällig.		
Ich ging nach dem Seminar {{c1::zu}} Ed und überbrachte ihm die schlimme Nachricht.		
Ich ging nach dem Seminar zu Ed und (gave){{c1::überbrachte}} ihm die schlimme Nachricht.		
(I had worked through the whole night){{c1::Ich hatte die ganze Nacht durchgearbeitet}} und genügend Koffein in mich hineingeschüttet, um eine ganze Olympiamannschaft zu disqualifizieren.		
Ich hatte die ganze Nacht durchgearbeitet und (enough){{c1::genügend}} Koffein in mich hineingeschüttet, um eine ganze Olympiamannschaft zu disqualifizieren.		
(Shorten){{c1::Verkürzen}} Sie Ihre Arbeitszeit, um die Aufgabe auf das Wesentliche zu beschränken (das Parkinson'sche Gesetz).		
Die beste Lösung (is){{c1::besteht darin}}, beide Ansätze zu nutzen.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die den Großteil Ihres Einkommens (make up){{c1::ausmachen}}, und setzen Sie sich dafür in naher Zukunft eindeutige Deadlines.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die (the){{c1::den}} Großteil Ihres Einkommens ausmachen, und setzen Sie sich dafür in naher Zukunft eindeutige Deadlines.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die den Großteil Ihres Einkommens ausmachen, und setzen Sie sich dafür (in the near future){{c1::in naher Zukunft}} eindeutige Deadlines.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die den Großteil Ihres Einkommens ausmachen, und (set yourself){{c1::setzen Sie sich}} dafür in naher Zukunft eindeutige Deadlines.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die den Großteil Ihres Einkommens ausmachen, und setzen Sie sich dafür in naher Zukunft (clear){{c1::eindeutige}} Deadlines.		
Eine Nebensächlichkeit (after the other){{c1::nach der anderen}} wird Sie ablenken, und am Ende des Tages werden Sie nichts zu Ende gebracht haben.		
Eine Nebensächlichkeit nach der anderen wird Sie ablenken, und am Ende des Tages werden Sie (finished nothing){{c1::nichts zu Ende gebracht}} haben.		
Ich habe Monate damit (spent){{c1::zugebracht}}, von einer Unterbrechung zur nächsten zu springen, und hatte das Gefühl, dass mein Unternehmen mich managte anstatt umgekehrt.		
Ich habe Monate damit zugebracht, von einer Unterbrechung zur nächsten zu springen, und hatte das Gefühl, dass mein Unternehmen mich managte (instead of the other way around){{c1::anstatt umgekehrt}}.		
Wie war es möglich, mit (so little expenditure of time){{c1::so geringem Zeitaufwand}} so viel Geld zu verdienen?		
Er war (happily married){{c1::glücklich verheiratet}}, hatte einen zwei Jahre alten Sohn, und sein zweiter Sohn würde in drei Monaten geboren werden.		
Er war glücklich verheiratet, hatte (a two year old son){{c1::einen zwei Jahre alten Sohn}}, und sein zweiter Sohn würde in drei Monaten geboren werden.		
Er war glücklich verheiratet, hatte einen zwei Jahre alten Sohn, und (his second son){{c1::sein zweiter Sohn}} würde in drei Monaten geboren werden.		
"Wenn es dich interessiert, machen wir ein Experiment und ich zeige dir, (how it works){{c1::wie es geht}}", bot ich an.		
Erfinde ich Aufgaben, (to avoid important things){{c1::um wichtigen Dingen aus dem Weg zu gehen}}?		
Ab einem bestimmten Alter lenkt Lesen den Geist zu sehr von seinen kreativen Beschäftigungen ab. Wer zu viel liest und sein Gehirn zu wenig nutzt, entwickelt faule (habits of though){{c1::Denkgewohnheiten}}.		
Halten Sie (present){{c1::anwesenden}} Kindern die Ohren zu.		
Ich schaue {{c1::mir}} nie die Nachrichten an und ich habe in den letzten fünf Jahren nur ein einziges Mal eine Zeitung gekauft, auf dem Londoner Flughafen Stansted, und das auch nur, weil ich damit Rabatt auf eine Diät-Pepsi bekam.		
Ich schaue mir nie die Nachrichten {{c1::an}} und ich habe in den letzten fünf Jahren nur ein einziges Mal eine Zeitung gekauft, auf dem Londoner Flughafen Stansted, und das auch nur, weil ich damit Rabatt auf eine Diät-Pepsi bekam.		
Ich will ein informierter und verantwortungsbewusster Bürger sein! (how can I keep up to date){{c1::Wie bleibe ich denn auf dem Laufenden}} und wie erfahre ich, was in der Welt vor sich geht?		
Ich will ein informierter und verantwortungsbewusster Bürger sein! Wie bleibe ich denn auf dem Laufenden und wie erfahre ich, (what's happening in the world?){{c1::was in der Welt vor sich geht?}}		
Ich werde diese Frage beantworten, aber gedulden Sie sich einen Moment - (It gets better){{c1::es kommt noch besser}}:		
Ich werde diese Frage beantworten, aber (be patient){{c1::gedulden Sie sich}} einen Moment - es kommt noch besser:		
Ich (work on){{c1::bearbeite}} meine geschäftlichen E-Mails ausschließlich montags, ungefähr eine Stunde lang, und ich höre niemals meine Voicemail ab, wenn ich im Ausland bin.		
Ich bearbeite meine geschäftlichen E-Mails ausschließlich montags, (for roughly an hour){{c1::ungefähr eine Stunde lang}}, und ich höre niemals meine Voicemail ab, wenn ich im Ausland bin.		
Aber was ist, wenn irgendwo ein Notfall (occurs){{c1::eintritt}}?		 
Wenn Sie nicht mehr verlangen, {{c1::über}} alles informiert zu werden, und stattdessen anderen die Verantwortung übertragen, dann werden auftretende Probleme auch ohne Sie gelöst.		
Wenn Sie nicht mehr verlangen, über alles informiert zu werden, und stattdessen (give others the responsibility){{c1::anderen die Verantwortung übertragen}}, dann werden auftretende Probleme auch ohne Sie gelöst.		
Wenn Sie nicht mehr verlangen, über alles informiert zu werden, und stattdessen anderen die Verantwortung übertragen, dann werden (occuring){{c1::auftretende}} Probleme auch ohne Sie gelöst.		
(Cultivate){{c1::Kultivieren Sie}} eine selektive Ignoranz.		
Kultivieren Sie (a selective ignorace){{c1::eine selektive Ignoranz}}.		
Ich möchte Ihnen vorschlagen, sich (immediately){{c1::ab sofort}} die unheimliche Fähigkeit zur selektiven Ignoranz zuzulegen.		
Ich möchte Ihnen vorschlagen, sich ab sofort die unheimliche Fähigkeit zur selektiven Ignoranz (get){{c1::zuzulegen}}.		
Der erste Schritt besteht nun darin, (to put yourself on an information diet){{c1::sich auf eine Informationsdiät zu setzen}}.		
Die meisten Informationen sind negativ, (swallow a lot of time){{c1::schlucken viel Zeit}}, haben nichts mit Ihren Zielen zu tun und unterliegen nicht Ihrem Einfluss.		
Ich wette mit Ihnen, dass alles, was Sie heute gelesen oder sich angeschaut haben, mindestens zwei dieser vier Punkte (fulfill){{c1::erfüllt}}.		
Ich lese jeden Tag, (when I'm on my lunch){{c1::während ich zum Mittagessen gehe}}, die Schlagzeilen in den Zeitungsautomaten - und sonst nichts.		
